"feature_id","mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","blank","sample","ms_level"
"FT0027",159.979744597215,159.97874883016,159.991261266664,23.8979997634888,22.1470203399658,125.162879943848,166,0,163,1
"FT0028",160.040707807502,159.979068292806,160.041201536842,391.181442260742,351.327789306641,393.562591552734,32,1,29,1
"FT0029",161.080876976732,160.975966877598,161.093348853799,242.126419067383,172.572174072266,350.692993164062,288,0,168,1
"FT0030",160.977013266006,160.975547475536,161.081599979847,24.2375965118408,19.4356460571289,170.471893310547,275,0,168,1
"FT0031",163.03979871776,163.038964544597,163.051804929606,214.934936523438,213.103001220703,271.976745605469,175,0,149,1
"FT0032",164.071260576155,164.070282241091,164.08310477069,79.6688461303711,43.2786483764648,144.181991577148,175,0,171,1
"FT0033",164.935044187234,164.926708782433,165.086377362967,27.9667358398438,24.9520092010498,91.5636215209961,242,0,148,1
"FT0034",165.040572977313,165.03983743663,165.041085679212,749.461181640625,740.7265625,752.570007324219,29,1,28,1
"FT0035",171.102337160397,171.101562764143,171.103273924663,879.677917480469,694.390999084473,942.599914550781,396,0,180,1
"FT0036",173.045386973855,173.008410466931,173.093961473397,258.390151977539,129.113464355469,299.765197753906,626,0,166,1
"FT0037",173.00933822417,173.008017152804,173.082216497617,42.9338264465332,28.7604465484619,126.60009765625,219,0,162,1
"FT0038",173.04511120823,173.008739062416,173.117631129677,380.923980712891,358.809814453125,414.458740234375,155,0,147,1
"FT0039",174.95594308773,174.954751470268,174.956662834223,1142.21203613281,1140.51123046875,1143.21997070312,196,1,195,1
"FT0040",174.955966496202,174.954730170048,174.968516765665,23.8980007171631,16.4195365905762,125.162879943848,187,1,185,1
"FT0041",175.060881988136,175.02387038076,175.097469965484,170.575172424316,28.5499649047852,212.972717285156,294,0,165,1
"FT0042",179.035264215175,179.034393377964,179.055719443829,230.841239929199,183.911148071289,271.042602539062,212,0,158,1
"FT0043",179.05601715086,178.951346899121,179.068912016261,28.5722103118896,24.0313301086426,134.235046386719,233,1,168,1
"FT0044",180.038477044298,180.037494672548,180.062611100717,230.885482788086,228.325973510742,271.042602539062,145,0,138,1
"FT0045",180.973018877826,180.972281375942,180.974609375,1085.08898925781,897.051999084473,1141.04077148438,936,1,253,1
"FT0046",182.988727506062,182.987388899481,182.990829467773,1045.142578125,913.423217773438,1139.66015625,690,1,191,1
"FT0047",187.097167519865,187.050300236705,187.110830580433,313.158233642578,239.650360107422,353.441101074219,202,0,177,1
"FT0048",187.06100602163,187.050186582126,187.097333413164,418.374084472656,391.128021240234,446.52599609375,163,0,162,1
"FT0049",187.060986299835,187.036493924332,187.097741506381,174.341369628906,28.2925357818604,220.155212402344,109,1,94,1
"FT0050",189.076607290601,189.03544310958,189.103184169869,169.871307373047,29.4625549316406,312.825500488281,267,1,162,1
"FT0051",191.051108805948,190.961349100894,191.069537420649,68.8659324645996,26.5613384246826,137.939590454102,1024,0,171,1
