"","mz","rt","n_samples"
"FT0111",253.21700280371,892.1240234375,261
"FT0112",254.040528751206,275.491104125977,261
"FT0113",254.898925276172,26.6219882965088,261
"FT0114",255.232423015047,925.143432617188,261
"FT0115",256.236041911494,925.055725097656,261
"FT0116",259.021794825745,29.2681179046631,261
"FT0117",261.100857335794,299.454238891602,261
"FT0118",262.929802852759,26.2485456466675,261
"FT0119",263.11402536541,160.68172454834,261
"FT0120",263.931245889623,26.2202501296997,261
"FT0121",265.051074474293,30.9510231018066,261
"FT0122",265.14781882145,647.155120849609,261
"FT0123",266.151255656663,648.862121582031,261
"FT0124",267.039025748711,37.3469829559326,261
"FT0125",268.111548408054,63.821647644043,261
"FT0126",268.93775347454,38.0069427490234,261
"FT0127",269.10224174534,263.376800537109,261
"FT0128",269.045142000423,410.108596801758,261
"FT0129",270.105802227014,263.500396728516,261
"FT0130",271.080877527424,162.506561279297,261
"FT0131",272.959088152357,24.2728290557861,261
"FT0132",273.124667441532,376.702941894531,261
"FT0133",273.960224368203,24.2713775634766,261
"FT0134",274.127086351846,377.389556884766,261
"FT0135",274.957532915457,24.2350177764893,261
"FT0136",275.127203979802,376.72705078125,261
"FT0137",275.021876106256,41.3723678588867,261
"FT0138",275.95917804536,24.2478904724121,261
"FT0139",276.956548276223,24.5686359405518,261
"FT0140",277.128661802256,234.586151123047,261
"FT0141",277.216777234667,691.366001220703,261
"FT0142",277.119364634061,378.000335693359,261
"FT0143",277.217056539746,832.0517578125,261
"FT0144",278.220580875587,832.045227050781,261
"FT0145",278.910269894434,26.3244915008545,261
"FT0146",279.051230550611,271.875396728516,261
"FT0147",279.108441047395,106.60514831543,261
"FT0148",279.232360694986,751.524261474609,261
"FT0149",279.232064513503,878.665405273438,261
"FT0150",280.082913906338,227.271766662598,261
"FT0151",280.235775284665,882.090209960938,261
"FT0152",280.907794088638,26.2385129928589,261
"FT0153",281.247799605568,941.263732910156,261
"FT0154",283.060919590648,534.998443603516,261
"FT0155",283.117915194957,294.399780273438,261
"FT0156",283.263640938071,1003.0969543457,261
"FT0157",284.064186161236,534.998352050781,261
"FT0158",284.267228386282,1003.095703125,261
"FT0159",285.061663816091,156.632568359375,261
"FT0160",285.066649124786,534.9990234375,261
"FT0161",285.082547685901,28.9569206237793,261
"FT0162",288.993868229263,36.6587104797363,261
"FT0163",289.164250389515,205.668571472168,261
"FT0164",289.938343989853,24.2075395584106,261
"FT0165",290.935455259357,24.1912441253662,261
"FT0166",291.196252348901,661.908050537109,261
"FT0167",291.144358262239,282.988952636719,261
"FT0168",292.199777937466,623.178100585938,261
"FT0169",293.118248726336,182.228698730469,261
"FT0170",293.211577377412,645.10888671875,261
"FT0171",293.175360046991,536.698669433594,261
"FT0172",293.17922773073,757.511566162109,261
"FT0173",294.215225009239,650.401985839844,261
"FT0174",294.115443278316,184.855117797852,261
"FT0175",294.178719963332,536.700317382812,261
"FT0176",295.048966897793,231.54167175293,261
"FT0177",295.227401827226,690.274780273438,261
"FT0178",295.082122017425,380.721466064453,261
"FT0179",296.066418783549,232.318054199219,261
"FT0180",296.085563255324,380.744842529297,261
"FT0181",297.118199308225,57.6563529968262,261
"FT0182",297.158233109837,676.677612304688,261
"FT0183",297.055643440166,231.878204345703,261
"FT0184",298.155992189664,663.430603027344,261
"FT0185",299.078411377946,171.18391418457,261
"FT0186",299.151606887778,663.944946289062,261
"FT0187",300.108357701533,162.396499633789,261
"FT0188",301.091543378124,162.757568359375,261
"FT0189",303.143807712267,306.760925292969,261
"FT0190",304.991051808932,31.4219694137573,261
"FT0191",305.125085389414,175.627914428711,261
"FT0192",305.114477094345,376.857727050781,261
"FT0193",305.994552991351,36.6532821655273,261
"FT0194",306.11600193609,377.065353393555,261
"FT0195",306.918793694463,1120.03491210938,261
"FT0196",306.992529942735,36.3221626281738,261
"FT0197",307.190654238397,620.911986816406,261
"FT0198",307.125649774222,174.583343505859,261
"FT0199",309.046562119247,40.0316848754883,261
"FT0200",309.206243587439,570.629272460938,261
"FT0201",309.061029080935,232.912200927734,261
"FT0202",309.097704255894,418.394622802734,261
"FT0203",309.173777517615,701.800933837891,261
"FT0204",310.092786890185,149.336532592773,261
"FT0205",310.091935881633,281.008666992188,261
"FT0206",310.209995406926,588.156555175781,261
"FT0207",310.100935027269,418.366271972656,261
"FT0208",311.096436205196,149.239372253418,261
"FT0209",311.16821200822,705.09130859375,261
"FT0210",311.112380324199,263.830576843262,261
"FT0211",311.077442419031,394.754409790039,261
"FT0212",312.171541454446,698.305908203125,261
"FT0213",312.116274419971,263.487396240234,261
"FT0214",313.091790303556,126.336574554443,261
"FT0215",313.077496267067,30.6043787002563,261
"FT0216",313.072636029693,259.43798828125,261
"FT0217",313.167337480444,699.315553588867,261
"FT0218",315.079446605581,106.612537384033,261
"FT0219",315.107450063831,202.676742553711,261
"FT0220",315.181060712268,421.284713745117,261
"FT0221",316.94778052279,1085.42901611328,261
"FT0222",317.086212703882,49.7666435241699,261
"FT0223",317.951161539228,1085.04858398438,261
"FT0224",318.952087361576,1084.77453613281,261
"FT0225",319.095292519812,273.185180664062,261
"FT0226",319.037446991367,535.022369384766,261
"FT0227",319.139206562398,215.139106750488,261
"FT0228",321.034434496431,533.940551757812,261
"FT0229",321.154259048018,242.537841796875,261
"FT0230",323.221634792396,679.78125,261
"FT0231",323.221458394978,832.057250976562,261
"FT0232",323.133878036114,188.902587890625,261
"FT0233",323.2197557852,925.133972167969,261
"FT0234",324.225331163961,679.269104003906,261
"FT0235",325.092971533662,246.034210205078,261
"FT0236",325.042930351314,36.3699131011963,261
"FT0237",325.093653234835,431.443298339844,261
"FT0238",325.184166861883,754.091125488281,261
"FT0239",326.943901301295,36.2430267333984,261
"FT0240",327.086797390728,278.744964599609,261
"FT0241",327.217203022431,446.650512695312,261
"FT0242",328.117605745925,270.869201660156,261
"FT0243",328.220286829595,420.679382324219,261
"FT0244",329.122491525399,212.434616088867,261
"FT0245",329.086998125941,106.989608764648,261
"FT0246",329.23201757926,447.292907714844,261
"FT0247",331.066497016294,73.2838592529297,261
"FT0248",331.130496479309,267.550430297852,261
"FT0249",331.237766319965,446.169387817383,261
"FT0250",332.124413168059,214.467918395996,261
"FT0251",333.151954541279,251.378555297852,261
"FT0252",333.190585076292,428.080871582031,261
"FT0253",335.133872178448,274.963104248047,261
"FT0254",336.108348988089,252.058486938477,261
"FT0255",337.093146342092,235.497970581055,261
"FT0256",338.095955084802,247.409980773926,261
"FT0257",339.071331755204,166.035403198242,261
"FT0258",339.071426849335,283.403991699219,261
"FT0259",339.199073113622,867.332733154297,261
"FT0260",341.088372306059,211.956481933594,261
"FT0261",341.111382809532,377.046325683594,261
"FT0262",341.108640635796,28.6101684570312,261
"FT0263",341.23227428822,491.613922119141,261
"FT0264",342.945248317365,29.9648513793945,261
"FT0265",343.138960844029,318.589385986328,261
"FT0266",343.102663483031,184.275375366211,261
"FT0267",344.104789080498,184.306396484375,261
"FT0268",345.153347606731,277.009918212891,261
"FT0269",345.118122424864,161.781219482422,261
"FT0270",345.203549757839,832.403533935547,261
"FT0271",346.12161428675,200.949020385742,261
"FT0272",347.092590136691,63.2801856994629,261
"FT0273",347.135285196046,302.904632568359,261
"FT0274",347.219205560212,882.416870117188,261
"FT0275",348.128997654344,178.3662109375,261
"FT0276",351.047751718535,534.997589111328,261
"FT0277",351.079053246844,158.063850402832,261
"FT0278",351.250221154131,1003.43054199219,261
"FT0279",352.102680619409,211.086242675781,261
"FT0280",353.087270509914,189.901420593262,261
"FT0281",353.199505706295,742.114379882812,261
"FT0282",354.090365913893,197.552795410156,261
"FT0283",355.099720733563,212.411560058594,261
"FT0284",356.105344463515,263.149841308594,261
"FT0285",356.101752502409,81.0184059143066,261
"FT0286",357.082340194628,133.139541625977,261
"FT0287",357.113612857926,262.817367553711,261
"FT0288",357.191542497423,420.712646484375,261
"FT0289",358.194680605589,420.725982666016,261
