Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
259.021794825745,C00275,M-H[-],29.2681179046631,0.000628707484963797,EC0002
259.021794825745,C00279,M+CH3COO[-],29.2681179046631,0.000100174254953345,EC00014
192.023605970597,C00311,M(C13)-H[-],42.897762298584,0.000482437367026023,EC0009
117.019283638739,C00349,M-H+O[-],47.9740104675293,4.98944910134469e-05,EC0006
193.050421267445,C00423,M+HCOO[-],280.9677734375,0.000376267444977429,EC00015
259.021794825745,C00446,M-H[-],29.2681179046631,0.000628707484963797,EC0002
223.061183661483,C00482,M-H[-],282.727645874023,3.98717469920484e-05,EC00016
173.045386973855,C00493,M-H[-],258.390151977539,0.000136559374993794,EC00017
214.073103996553,C00493,M+ACN-H[-],184.545364379883,0.00103546332300652,EC00018
117.019283638739,C00546,M+HCOO[-],47.9740104675293,0.00053863873900184,EC00019
152.034983164711,C00568,M-H+O[-],162.246124267578,0.000350368518979849,EC0005
152.034983164711,C00632,M-H[-],162.246124267578,0.000340368518976675,EC00020
259.021794825745,C00636,M-H[-],29.2681179046631,0.000628707484963797,EC0002
369.22745830553,C00639,M-H+O[-],681.299926757812,0.0007752276999895,EC00021
259.021794825745,C00668,M-H[-],29.2681179046631,0.000628707484963797,EC0002
175.060881988136,C00671,M+HCOO[-],170.575172424316,0.000236988136009586,EC00011
189.076607290601,C00671,M+CH3COO[-],169.871307373047,0.00031229060101623,EC00011
259.021794825745,C00673,M+HCOO[-],29.2681179046631,5.01742549658957e-05,EC00022
281.247799605568,C00712,M-H[-],941.263732910156,0.000823927661997459,EC00023
223.061183661483,C00811,M+CH3COO[-],282.727645874023,0.000588661482993302,EC00010
213.149448686005,C00843,M+CH3COO[-],446.292877197266,0.000353686005013287,EC00024
353.087270509914,C00852,M-H[-],189.901420593262,0.0005530233160016,EC00025
218.102989140215,C00864,M-H[-],96.926872253418,0.000434393015012802,EC00026
285.061663816091,C00885,M+CH3COO[-],156.632568359375,0.000668816091035751,EC00013
373.12591699902,C00921,M+CH3COO[-],751.192840576172,7.80009800678272e-05,EC00027
191.055392947316,C00966,M+HCOO[-],198.304733276367,0.000152052684001092,EC00028
205.071948916951,C00966,M+CH3COO[-],153.622566223145,0.000753916950998246,EC00029
